term,estimate,std.error,statistic,p.value,sig
age,6.540831217820159e-4,2.208607532053288e-4,2.9615181162310487,0.00306427703188084,**
zip_code19140,-0.306387616106998,0.10362103994001476,-2.9568089288079227,0.0031114476338121077,**
census_tract217,0.19855595093585415,0.069164472413738,2.870779520273119,0.004098208275124945,**
zip_code19134,-0.326415435024864,0.11392559003337695,-2.86516343632044,0.0041715774061597734,**
census_tract10,0.10255556982302588,0.03592085566491401,2.8550425073308565,0.004306813780632566,**
census_tract28,0.20444620552817988,0.07273852791056476,2.8107003454834216,0.0049474042448399095,**
census_tract33,-0.20108002539272615,0.07261258714313963,-2.7692172019203976,0.005623451469320764,**
census_tract317,0.1922135318725552,0.06962596444294247,2.7606588060991464,0.005772891785729681,**
census_tract190,0.2305030788637447,0.08692063510207074,2.651879827995566,0.008009789791654651,**
census_tract378,0.21112319746690672,0.07998986395953328,2.6393743784051633,0.008311314485943733,**
zip_code19128,0.24640309028200078,0.09423053827146242,2.614896346788922,0.008931061142385352,**
census_tract169,-0.29138646038428906,0.11243762779081751,-2.5915386700117296,0.009560594306105084,**
census_tract353,0.1775059615191971,0.07028951462846117,2.5253547767040994,0.011564570328429244,*
zip_code19132,-0.26058705188151654,0.10832383710932575,-2.4056298118254364,0.016152168531235526,*
census_tractOther,0.1468356334230088,0.06191118187459705,2.3717142683599346,0.017713659780031484,*
census_tract134,0.1629229261287456,0.06959187144388301,2.3411200582545364,0.019234164000759182,*
census_tract30,0.1633238667845764,0.07123917480807766,2.2926131194610275,0.02187894129802197,*
census_tract83,0.24542506915482554,0.11086923737498569,2.2136444244199187,0.02686266275699863,*
census_tract337,0.15049189504579735,0.06879591988435549,2.187511923654355,0.028714835110620604,*
census_tract214,0.15006261690068637,0.06875713435272612,2.1825024895723653,0.02908217617514441,*
census_tract331,0.16033434651526113,0.0740522311244924,2.16515213762724,0.03038590685294109,*
census_tract192,0.2318402890295916,0.1162663407515735,1.9940447728114639,0.046158513587967825,*
x_coord,4.020605493979535e-6,2.027137760851046e-6,1.9833903603530025,0.047335277742371236,*
zip_code19127,0.19330174337777264,0.09761477056743811,1.9802509625756715,0.0476867948330581,*
