parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk,dist_transit_ft,transit_15min_walk,dist_to_hospital_ft,hospitals_15min_walk,total_popE,median_incomeE,per_cap_incomeE,PCBACHMORE,PCTPOVERTY,dist_to_nearest_school_ft,schools_within_15min_walk,age,age2,cooks_d,fitted,residual
032022200,2023-11-09,15.444751293772969,3,0.6931471805599453,6.981934677156389,19143,1,4,5,83,2671714.21685731,236760.38270247,5744,6.703292475676441,5,5.603979357845979,167,8.108369922982863,0.6931471805599453,4844,30922,9.967213243416673,16.52542372881356,30.119735755573902,6.26445185439781,10,100,9.210440366976515,0.002845686685006388,11.91807556773618,3.5266757260367885
111388900,2024-04-24,15.048726872113876,3,0.6931471805599453,6.744059186311348,19132,1,4,5,172,2691533.25924015,253098.8080308,6538,7.6017471207660865,3,6.318931048448143,160,8.539990641613626,0,2863,25865,10.657071101899904,8.279150411790203,37.163814180929094,5.128968687869598,12,100,9.210440366976515,0.0027470050382125983,11.257434973027392,3.791291899086485
032013600,2023-11-09,15.444751293772969,3,0.6931471805599453,7.186144304522325,19143,1,4,4,83,2671151.64514782,236910.83745405,5204,7.185105111523705,5,5.341607676334173,160,8.26932791860706,0.6931471805599453,4844,30922,9.967213243416673,16.52542372881356,30.119735755573902,6.901861792900397,7,100,9.210440366976515,0.0026800204313267273,12.021736009892347,3.4230152838806225
401079900,2024-04-24,15.048726872113876,3,0.6931471805599453,6.734591659972948,19143,1,4,4,65,2674991.96358265,228604.77860688,5149,6.612644841310326,3,5.412187684572962,134,8.854223517949091,0,4672,43081,9.912645490320894,14.191988950276244,19.34931506849315,6.950147708648562,10,105,9.30801139914963,0.0026311818899560145,11.73794073302726,3.3107861390866162
031115000,2023-11-09,15.444751293772969,3,0.6931471805599453,7.273092595999522,19139,1,4,4,83,2671958.00377131,237050.65180697,6033,6.219567374187251,5,5.0978824735190775,169,8.075387964694034,0.6931471805599453,4844,30922,9.967213243416673,16.52542372881356,30.119735755573902,5.168976687347937,8,100,9.210440366976515,0.0026021687601492298,12.06912372109316,3.375627572679808
514076800,2024-04-24,15.048726872113876,3,0.6931471805599453,6.683360945766275,19143,1,4,5,71,2674965.11750773,230315.63968647,4845,7.170124726055,1,5.2610630577174895,120,8.574122158305965,0,4584,34291,10.025572433086364,11.283804787068698,28.337696335078533,6.923714849006239,11,100,9.210440366976515,0.0025669059730455746,11.636106426573352,3.4126204455405236
422137200,2024-12-06,15.01860327512709,3,0.6931471805599453,6.849066282633458,19120,1,4,4,286,2702078.78375272,263267.36479338,5152,7.791156674993772,2,6.265357305183174,183,8.616025930318012,0,6980,58350,10.096625401763932,12.212581344902386,24.040114613180517,7.02207854682593,18,95,9.107864580386948,0.002550986078571055,11.617871498886217,3.400731776240872
031127800,2023-11-09,15.444751293772969,4,0.6931471805599453,7.316548177182976,19139,1,4,4,83,2672173.92131847,238125.68869889,7041,6.978384731441305,4,5.456807249505952,177,8.20547821674701,0.6931471805599453,4844,30922,9.967213243416673,16.52542372881356,30.119735755573902,5.894138349950566,8,100,9.210440366976515,0.0025253183174705155,12.11691517925017,3.3278361145227984
072026100,2024-05-22,14.87786369040364,3,0.6931471805599453,6.859614903654202,19140,1,4,4,195,2702610.32238781,254504.92496921,6453,4.408508824427446,5,5.629969287741946,113,7.625098675443688,0.6931471805599453,3901,28205,9.475700145423472,7.791609036422314,60.88182517303255,4.88853043995371,16,80,8.764209507142004,0.002441810939270191,11.453933642691105,3.4239300477125356
514087600,2024-04-24,15.048726872113876,3,0.6931471805599453,6.870053411798126,19143,1,4,4,71,2675033.73744923,230243.26811205,4871,7.094995782328928,1,5.611243841995366,119,8.588106444898415,0,4584,34291,10.025572433086364,11.283804787068698,28.337696335078533,6.914716156882314,11,100,9.210440366976515,0.0023767019055077206,11.729844251923424,3.318882620190452
