parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk
363027800,2023-02-21,430000,3,2,1659,1920,19146,1,2,2,31,2690064.89636323,229097.76712221,5405,1878.0754201417576,7
401186000,2023-02-06,150000,3,1,1104,1925,19142,1,4,4,64,2672215.47635348,227180.76701921,2991,1232.373839807714,3
452058000,2023-03-03,45000,2,1,980,1900,19134,1,4,4,188,2708285.42881973,253149.9516293,8512,1317.5720811819522,5
888081533,2023-03-08,3750000,3,4,3217,1900,19103,1,4,4,8,2691163.02572864,234634.37776813,10847,2320.0427211215097,3
411314600,2023-03-10,90000,2,1,830,1985,19135,1,4,4,321,2722769.96218656,261212.08183047,4166,652.8146522460434,4
612400300,2023-02-23,135000,3,1,990,1945,19120,1,4,4,274,2703206.34284931,269625.82582971,2862,1563.3612818757956,4
531241200,2023-02-14,120000,3,1,1120,1925,19149,1,4,4,311,2714280.81938797,267747.35714571,3699,1630.2862161107375,2
122172800,2023-02-06,125000,4,2,1296,1920,19144,1,4,4,247,2691078.66795772,267119.04934722,4860,1649.1792908046198,4
212331523,2023-02-27,424900,4,2,1800,2001,19128,1,4,4,215,2674587.54083507,267132.14118455,1266,1852.9817981311446,1
251306800,2023-03-03,157000,1,1,914,1920,19134,1,4,2,180,2709311.53634757,248322.67289805,3532,937.7744310696839,6
344151200,2023-01-10,167000,3,1,1120,1949,19151,1,4,4,98,2664882.21871032,244599.2659748,1256,2694.922000502474,1
102071200,2023-02-09,129000,3,1,1280,1925,19138,1,4,4,265,2694707.82277289,276027.3271343,3744,657.0784789641524,3
314032500,2023-02-21,500000,3,2,1904,1915,19125,1,4,2,160,2704197.93666664,247186.12333389,5747,1680.2022039459089,6
213221146,2023-02-28,265000,3,1,1132,1965,19128,1,4,4,211,2681136.53003365,261284.07578097,942,2920.0354739860495,2
453242800,2023-02-22,154700,2,1,924,1920,19137,1,4,4,183,2717608.00827165,253606.56554547,1122,2173.8853924836776,1
604202300,2023-03-13,115000,3,1,1340,1925,19143,1,5,5,81,2674175.35891664,236015.78642263,7314,1793.7002393082867,2
642268100,2023-02-28,200000,3,1,1152,1950,19136,1,4,4,331,2729150.52258815,270158.29654954,2858,1993.975908451683,3
212008401,2023-02-15,335000,3,1,1152,1960,19128,1,4,4,210,2679597.89859648,261360.4726098,1191,2232.679494025358,3
663440200,2023-03-09,145000,3,1,1368,1965,19154,1,4,4,363,2746537.98945357,289298.74317671,1519,1354.0312658392224,2
062077900,2023-03-07,145000,3,2,1084,1925,19104,1,4,3,107,2681091.93694697,241917.7398418,4228,2164.718319900657,8
212129600,2023-03-10,323000,3,1,1326,1940,19128,1,4,2,210,2678689.7563839,261887.40003364,1491,1806.023077692452,2
661136500,2023-03-10,253000,2,1,880,1965,19114,1,4,4,353,2740671.52972981,282611.19421588,875,1641.1132090879048,2
393012900,2023-03-08,585000,3,2,1428,1925,19148,1,2,2,41,2695118.19039048,226168.01838855,5473,809.9932175158173,9
491080900,2023-01-20,53950,4,1,1642,1935,19120,1,4,4,285,2700836.6550034,262474.84505297,5478,2635.3680325682076,3
033041700,2023-02-03,115000,3,1,1032,1920,19143,1,4,4,82,2672202.39403056,234518.11061221,4823,1518.0171217713241,3
252461400,2023-03-08,135000,2,2,1000,1910,19134,1,3,2,178,2707185.03731973,250619.17880371,9801,2188.5471133577053,5
888304330,2023-01-18,835000,3,2,2040,2013,19146,1,3,3,13,2688546.34100139,233504.87904288,4597,1000.3716040820659,4
453246000,2023-03-09,235000,3,1,1130,1925,19137,1,4,3,183,2718105.77958581,253968.94375771,1000,1625.9915486509003,1
161043900,2023-02-24,189000,4,1,1696,1915,19132,1,4,4,167,2694638.27533981,249066.26524289,8805,392.35569279312904,5
033217100,2023-03-24,120000,3,1,1024,1920,19143,1,4,3,82,2670792.77677107,232601.81293564,2139,3126.6537657659883,2
631267300,2023-03-17,330000,3,2,1066,1957,19111,1,4,2,340,2717577.91581215,279206.09308647,1430,3137.875041137145,1
181054100,2023-03-09,455000,3,1,1116,1920,19125,1,3,3,143,2702336.63855198,242326.61402404,3822,1549.1284059815036,4
888030540,2023-03-24,379000,2,2,962,1900,19107,1,3,3,2,2695184.2903239,236788.23468088,12552,3833.9609948241655,1
232050500,2023-03-28,75000,3,1,1155,1935,19124,1,4,4,294,2715480.00465365,257033.27358705,3300,3007.2101872941544,2
421094600,2023-03-24,220000,4,1,1518,1942,19120,1,4,4,288,2704594.28495531,262306.66986439,4993,626.1428203893606,1
312000397,2023-03-08,580000,3,3,1881,2023,19125,1,1,1,378,2705985.53414132,243239.68076746,1624,2668.089298539769,2
041195600,2023-03-24,65000,3,1,1047,1925,19131,1,4,4,102,2674402.72263515,241254.11879371,8616,870.3621428064091,4
211536800,2023-03-22,270000,3,1,1186,1900,19128,1,4,4,215,2674852.94023864,265621.88042554,1457,630.5822719387405,1
412225800,2023-02-27,240000,3,2,1084,1950,19136,1,4,2,330,2729444.91176315,266733.66986863,3687,1266.1803804300275,4
211110000,2023-03-20,360000,3,1,1472,1935,19128,1,3,3,214,2677576.14279749,263219.33044063,1724,1788.1688776473995,3
162153400,2023-03-17,66225,3,1,1200,1920,19132,1,4,4,168,2692536.62829639,249940.46067296,8699,1317.4656900781706,6
402173200,2023-03-24,50000,2,1,844,1920,19142,1,4,4,67,2675642.75427581,225720.64723605,5246,898.7451763243828,4
463133300,2023-03-13,249900,3,2,1152,1925,19143,1,2,2,81,2672532.64435431,234290.17799722,4888,1169.8543919406964,3
043265800,2023-03-17,182000,3,1,1399,1925,19131,1,4,4,113,2672408.34637456,245725.3759273,5040,961.9111148988584,4
401279000,2023-03-07,41800,3,1,1216,1920,19142,1,4,4,66,2675132.73757932,228128.63126521,5464,1076.9722379089399,3
033131000,2023-03-24,69900,3,1,1022,1920,19143,1,4,4,82,2672000.39246607,233413.27161455,3863,1912.5860488470257,3
032078500,2023-03-16,70000,3,1,932,1925,19143,1,5,5,83,2671815.8291869,236163.69163863,5410,1128.4749655604214,5
332252900,2023-03-20,205000,3,1,1200,1925,19124,1,4,2,191,2708862.22655064,256112.83546729,5167,985.1588893559687,5
213209400,2023-03-10,399998,4,2,2000,1900,19128,1,4,3,209,2680402.49770907,261018.18622088,1020,2774.997516775067,2
393206700,2023-03-21,255000,2,1,944,1925,19148,1,4,2,41,2694988.76840523,224273.11272955,4680,1358.5219130509665,4
091213600,2023-03-13,417000,3,2,1080,1925,19118,1,4,3,257,2681766.80239515,280258.36821288,672,373.32814935011635,1
151094301,2023-03-10,538000,3,2,1230,1920,19130,1,2,2,135,2691408.13875549,242275.56294505,7047,991.3295302893879,4
262050400,2023-03-21,215000,3,1,928,1920,19145,1,4,4,39,2690136.8417574,223532.13324039,4301,934.8648966573747,2
151374300,2023-03-21,720000,3,3,2688,1920,19130,1,2,2,135,2692318.58805007,242788.93166897,8064,822.5217531609586,4
311270000,2023-03-21,205000,4,1,1520,1875,19125,1,4,4,160,2705198.24962665,247433.68451855,5877,831.9414063774285,4
101174300,2023-03-16,206000,3,1,1512,1925,19138,1,4,4,266,2695938.8065314,278689.57607488,2032,1972.7857908704166,2
162160000,2023-03-13,40000,3,1,1260,1920,19132,1,4,4,168,2692433.11111498,249908.23698413,8805,1305.865420235021,6
888030378,2023-02-27,505000,2,2,1449,1900,19106,1,4,3,1,2699428.09778115,237295.56929614,3600,2801.117997205591,1
561537300,2023-03-17,280000,3,2,1169,1957,19152,1,4,4,334,2723935.85158706,274726.52691439,3175,2167.6942791923943,2
311221800,2023-03-15,257700,3,1,1099,1875,19125,1,4,3,160,2703916.3004189,246987.47510913,5574,1942.6665620944261,6
122199700,2023-03-15,185600,3,1,1346,1925,19144,1,4,2,247,2691804.73901215,269031.4218348,4079,1173.0687286711025,4
522017500,2023-03-06,212000,3,1,1276,1925,19131,1,4,4,118,2673962.22121955,247128.27338396,3845,1598.58770435258,4
351351300,2023-03-15,198500,3,3,1610,1950,19124,1,4,4,291,2709292.24898456,266367.35531256,2814,3325.3363507102367,2
442009900,2023-03-20,185000,3,1,1530,1925,19139,1,3,2,103,2675466.04006231,240794.14464805,8204,1281.914010462942,4
432146810,2023-02-21,75000,3,1,1282,1925,19140,1,4,4,199,2697593.89934981,255911.91821821,6905,3384.2729331743335,3
392134400,2023-03-21,295000,2,1,910,1920,19148,1,4,3,42,2696695.21315506,224590.48184547,4724,1442.5456123784202,3
131259600,2023-03-21,115000,3,1,1262,1940,19140,1,4,4,202,2694465.31243114,257577.60353513,5956,2035.3655588629222,1
662419000,2023-03-20,290000,3,1,1360,1966,19154,1,4,4,362,2741707.68316931,285145.08875439,940,1212.8170150712613,2
888520351,2023-03-13,157000,1,1,940,1970,19131,1,4,4,122,2682211.04166414,254532.91867962,1253,3515.3210318368742,1
383021900,2023-03-17,420000,2,2,1216,1943,19129,1,2,2,207,2685527.51272148,258713.03925638,1232,2404.0479852681724,2
212194800,2023-03-06,425000,3,2,1792,1925,19128,1,4,2,213,2678450.72766247,263895.30251388,1636,933.502119302037,2
272055200,2023-03-15,747000,5,2,2280,1915,19104,1,4,4,87,2680914.39169839,235147.28225413,4140,3200.1269271883884,2
